publisher,institution,programme_id,programme_label,programme_sort,ranking_name,rank_type,rank_type_label,scope_label,edition_year,rank_numeric,rank_display,data_status,rank_direction,series_key,is_latest_available,latest_available_year,ebs_inclusion_status,source_url,source_file,evidence_status,verified_at,notes
Financial Times,ESMT Berlin,full_time_mba,Full-time MBA,1,European Business Schools,european_component,European component rank,European schools only (EBS component),2021,22,#22,ranked,lower_is_better,FT|full_time_mba|european_component,False,2025,included,https://www.ft.com/content/10324e20-ae74-417d-bc48-4a32ecc23137,09-FT_Germany_Peer_Analysis_2021_2025.xlsx,derived_from_official_ft_exports,2026-08-20,Historical European component retained from the verified 2021–2025 panel.
Financial Times,ESMT Berlin,full_time_mba,Full-time MBA,1,European Business Schools,european_component,European component rank,European schools only (EBS component),2022,23,#23,ranked,lower_is_better,FT|full_time_mba|european_component,False,2025,included,https://www.ft.com/content/10324e20-ae74-417d-bc48-4a32ecc23137,09-FT_Germany_Peer_Analysis_2021_2025.xlsx,derived_from_official_ft_exports,2026-08-20,Historical European component retained from the verified 2021–2025 panel.
Financial Times,ESMT Berlin,full_time_mba,Full-time MBA,1,European Business Schools,european_component,European component rank,European schools only (EBS component),2023,,Not ranked,not_ranked,lower_is_better,FT|full_time_mba|european_component,False,2025,included,https://www.ft.com/content/10324e20-ae74-417d-bc48-4a32ecc23137,09-FT_Germany_Peer_Analysis_2021_2025.xlsx,derived_from_official_ft_exports,2026-08-20,Historical European component retained from the verified 2021–2025 panel. ESMT has no component rank for this edition; the gap is intentional.
Financial Times,ESMT Berlin,full_time_mba,Full-time MBA,1,European Business Schools,european_component,European component rank,European schools only (EBS component),2024,,Not ranked,not_ranked,lower_is_better,FT|full_time_mba|european_component,False,2025,included,https://www.ft.com/content/10324e20-ae74-417d-bc48-4a32ecc23137,09-FT_Germany_Peer_Analysis_2021_2025.xlsx,derived_from_official_ft_exports,2026-08-20,Historical European component retained from the verified 2021–2025 panel. ESMT has no component rank for this edition; the gap is intentional.
Financial Times,ESMT Berlin,full_time_mba,Full-time MBA,1,European Business Schools,european_component,European component rank,European schools only (EBS component),2025,26,#26,ranked,lower_is_better,FT|full_time_mba|european_component,True,2025,included,https://www.ft.com/content/10324e20-ae74-417d-bc48-4a32ecc23137,06-export-ranking-european-business-school-rankings-2025-1785929159965.xlsx,official_attached_export,2026-08-20,Published FT European component used in the 2025 EBS composite.
Financial Times,ESMT Berlin,full_time_mba,Full-time MBA,1,Global MBA,global_programme,Global programme rank,Global ranking,2024,,Not ranked,not_ranked,lower_is_better,FT|full_time_mba|global_programme,False,2026,included,https://rankings.ft.com/schools/452/european-school-of-management-and-technology/rankings/3006/mba-2026/ranking-data,,official_page_explicit_missing,2026-08-20,Official FT page shows Rank in 2024 as a dash.
Financial Times,ESMT Berlin,full_time_mba,Full-time MBA,1,Global MBA,global_programme,Global programme rank,Global ranking,2025,80,#80,ranked,lower_is_better,FT|full_time_mba|global_programme,False,2026,included,https://rankings.ft.com/schools/452/european-school-of-management-and-technology/rankings/3006/mba-2026/ranking-data,,official_ranking_page_previous_rank,2026-08-20,Previous rank shown on the official 2026 FT page.
Financial Times,ESMT Berlin,full_time_mba,Full-time MBA,1,Global MBA,global_programme,Global programme rank,Global ranking,2026,79,#79,ranked,lower_is_better,FT|full_time_mba|global_programme,True,2026,included,https://rankings.ft.com/schools/452/european-school-of-management-and-technology/rankings/3006/mba-2026/ranking-data,,official_ranking_page,2026-08-20,Current Global MBA rank.
Financial Times,ESMT Berlin,online_mba,Online MBA,2,Online MBA,global_programme,Global programme rank,Global ranking,2025,,Not ranked,not_ranked,lower_is_better,FT|online_mba|global_programme,False,2026,not_included,https://rankings.ft.com/rankings/2998/online-mba-2025,,official_published_table_absence,2026-08-20,ESMT is not listed in the official 2025 table.
Financial Times,ESMT Berlin,online_mba,Online MBA,2,Online MBA,global_programme,Global programme rank,Global ranking,2026,17,#17,ranked,lower_is_better,FT|online_mba|global_programme,True,2026,not_included,https://rankings.ft.com/rankings/3007/online-mba-2026,,official_ranking_table,2026-08-20,Current Online MBA rank. Online MBA is not part of the EBS composite.
